country,coordinates,location
US,"{'latitude': 38.868004, 'longitude': -121.08737}",Vintage Oaks Sunvalley
US,"{'latitude': 38.85103, 'longitude': -119.646965}",Pineview Resident
US,"{'latitude': 39.321766, 'longitude': -120.22864}",WinterCampWay
US,"{'latitude': 38.590027, 'longitude': -90.34099}",Nerinx Hall
US,"{'latitude': 38.030663, 'longitude': -122.57525}",Mt Shasta Dr.
US,"{'latitude': 41.684464, 'longitude': -70.01482}",Chatham
US,"{'latitude': 64.88145, 'longitude': -147.91472}",Line Dr.
US,"{'latitude': 38.564297, 'longitude': -121.462265}",Santa Ynez sensor
US,"{'latitude': 39.146, 'longitude': -119.7668}",NDEP-1
US,"{'latitude': 39.193592, 'longitude': -76.778725}",St. Stephen’s AME
US,"{'latitude': 37.088825, 'longitude': -121.648895}",Mosewatson
US,"{'latitude': 40.33453, 'longitude': -80.21429}",Cecil 1
US,"{'latitude': 48.795902, 'longitude': -122.49245}",Whatcom Community College
US,"{'latitude': 39.95142, 'longitude': -105.16742}",Rogers Farm
CA,"{'latitude': 53.30277, 'longitude': -120.16359}",McBride Library
US,"{'latitude': 35.177395, 'longitude': -118.63527}",Bear Valley Spring
US,"{'latitude': 37.45614, 'longitude': -122.179726}",TrinitySchool-ECP-Outside
US,"{'latitude': 39.10109, 'longitude': -108.66651}",CCA North Terrace
US,"{'latitude': 41.713013, 'longitude': -111.80654}","addie's breath, providence ut"
US,"{'latitude': 42.78746, 'longitude': -86.11655}",Historic District
US,"{'latitude': 39.119774, 'longitude': -123.20554}",Ukiah
US,"{'latitude': 37.37064, 'longitude': -122.07236}",HeyWay
US,"{'latitude': 37.913754, 'longitude': -122.28203}",GLMS Kensington
US,"{'latitude': 35.871845, 'longitude': -82.34692}",Clean Air Carolina - Slickrock Mountain
US,"{'latitude': 37.828903, 'longitude': -122.2721}",Apgar Longfellow Outdoor
US,"{'latitude': 39.944534, 'longitude': -105.153145}",Snyder Way
CA,"{'latitude': 53.518604, 'longitude': -113.52866}",Chemistry building_RZ_01
US,"{'latitude': 47.60215, 'longitude': -122.135605}",Samena Club
US,"{'latitude': 37.422714, 'longitude': -122.15591}",CCSC
MX,"{'latitude': 25.67816, 'longitude': -100.39298}",Colinas del Valle
US,"{'latitude': 40.833763, 'longitude': -73.902565}",Bronx Center for Science and Mathematics - outdoor
US,"{'latitude': 43.585575, 'longitude': -119.05367}",PARR LUMBER BURNS
US,"{'latitude': 29.764566, 'longitude': -95.00271}",AAH Ashwood
US,"{'latitude': 47.69577, 'longitude': -122.13118}",Education Hill
US,"{'latitude': 38.240746, 'longitude': -76.49456}",Virtual Academy Back Right Sensor
US,"{'latitude': 37.883797, 'longitude': -122.18356}",Orinda Academy
US,"{'latitude': 38.956844, 'longitude': -119.94262}","6224 Feet, South Lake Tahoe"
US,"{'latitude': 38.54464, 'longitude': -121.500465}",Doc Oliver Field
US,"{'latitude': 41.624428, 'longitude': -122.40546}",CARB_SMOKE_SCAPCD_BIG_SPRINGS_ELEMENTARY
US,"{'latitude': 37.798256, 'longitude': -122.19718}",Wisconsin-Norton
US,"{'latitude': 39.948753, 'longitude': -105.15918}",Village Green Way
US,"{'latitude': 38.12802, 'longitude': -108.291145}",APCD Norwood
US,"{'latitude': 34.107765, 'longitude': -118.2163}",Sea View Avenue
CA,"{'latitude': 49.27204, 'longitude': -123.251686}",UBC Chancellor Blvd
US,"{'latitude': 45.49511, 'longitude': -118.0583}",Hunter Road
US,"{'latitude': 40.67708, 'longitude': -121.42751}",CARB_SMOKE_SHASTAAQMD_OLDSTATIONFD
US,"{'latitude': 39.832783, 'longitude': -120.425674}",Lower Grizzly Road
US,"{'latitude': 36.969025, 'longitude': -122.01181}",Cushnir
US,"{'latitude': 39.753723, 'longitude': -121.81655}",Verbena Fields
US,"{'latitude': 45.611774, 'longitude': -122.43504}",Lake Pointe
US,"{'latitude': 38.55301, 'longitude': -122.72192}",8566 outside
US,"{'latitude': 37.92259, 'longitude': -122.014084}","Deerpark Ct, Outside"
US,"{'latitude': 39.110634, 'longitude': -122.89285}",robin hill
US,"{'latitude': 37.90535, 'longitude': -122.49533}",Buckwheat 2
CA,"{'latitude': 62.449337, 'longitude': -114.3614}",AQSU-0279
US,"{'latitude': 37.8883, 'longitude': -122.13018}",Mosswood Drive (west of Village Center)
US,"{'latitude': 38.717724, 'longitude': -123.36733}",Horicon Elementary School
US,"{'latitude': 37.635647, 'longitude': -121.89352}",H1 Castlewood
US,"{'latitude': 36.63435, 'longitude': -120.38337}",Tranquility RAMP PA
US,"{'latitude': 38.683002, 'longitude': -122.83427}",5110 Hwy 128
US,"{'latitude': 37.88897, 'longitude': -122.180504}",Orindawoods
US,"{'latitude': 37.352345, 'longitude': -122.08342}",Fremont Ave / Oakhurst Ave
US,"{'latitude': 61.188515, 'longitude': -149.80844}",APU CCH Outdoor
CA,"{'latitude': 46.4468, 'longitude': -67.61574}",AQSU-F7F1
US,"{'latitude': 37.701153, 'longitude': -122.10203}",Rolando - Outside
US,"{'latitude': 39.830994, 'longitude': -123.61293}",Cummings
US,"{'latitude': 37.778927, 'longitude': -122.13869}",Skyline/Hansom
US,"{'latitude': 40.04077, 'longitude': -105.271286}",Kalmia 
CA,"{'latitude': 50.1915, 'longitude': -119.505226}",AQSU-008E_NWFR 101
US,"{'latitude': 33.690624, 'longitude': -86.460724}",Taylor Farm
US,"{'latitude': 38.26004, 'longitude': -122.67027}",tuftfarm
US,"{'latitude': 40.73358, 'longitude': -123.05959}",NC#139_Junction City_JCESD
US,"{'latitude': 37.89212, 'longitude': -122.20408}",Orinda
US,"{'latitude': 42.218735, 'longitude': -123.27396}",Latigo Ranch
US,"{'latitude': 38.448433, 'longitude': -122.67508}",eadhar ur
US,"{'latitude': 37.811623, 'longitude': -122.21332}",Leimert Bridge SE
US,"{'latitude': 47.503, 'longitude': -122.26}",Rainier View
US,"{'latitude': 37.53716, 'longitude': -77.54397}",Stratford &amp; Ammonett
US,"{'latitude': 41.902527, 'longitude': -87.73614}",West Humboldt Park
US,"{'latitude': 47.624973, 'longitude': -122.30942}",17th Ave E and E Roy
US,"{'latitude': 38.00851, 'longitude': -122.55889}",Chelan
US,"{'latitude': 39.54137, 'longitude': -105.110695}",Trailmark
US,"{'latitude': 37.33263, 'longitude': -122.20542}",Rocky Creek Road
US,"{'latitude': 47.59226, 'longitude': -121.97502}",Sammamish
US,"{'latitude': 34.24371, 'longitude': -118.879715}",Santa Rosa Technology Magnet School
US,"{'latitude': 37.899162, 'longitude': -122.26637}",Hilldale1
US,"{'latitude': 40.727203, 'longitude': -111.87596}",Hollywood Ave
US,"{'latitude': 37.25746, 'longitude': -121.96904}",La Rinconada
US,"{'latitude': 37.720356, 'longitude': -122.08364}",EWING ROAD - OUTSIDE
US,"{'latitude': 40.47583, 'longitude': -111.886955}",Oz 7bd4
US,"{'latitude': 47.66627, 'longitude': -122.26905}",Windermere Park
US,"{'latitude': 41.577602, 'longitude': -73.473915}",Sherman Weather
US,"{'latitude': 44.03928, 'longitude': -103.294876}",West Rapid City
US,"{'latitude': 39.141224, 'longitude': -120.1531}",Tahoe Park Beach
US,"{'latitude': 37.383705, 'longitude': -122.06209}",Hedgerow
US,"{'latitude': 37.781067, 'longitude': -122.18255}",Mills College
US,"{'latitude': 41.789593, 'longitude': -124.06677}",Berteleda
US,"{'latitude': 44.107796, 'longitude': -123.1491}",N Eugene Air Monitor
US,"{'latitude': 64.2923, 'longitude': -149.16444}",Clear Space Force Station
US,"{'latitude': 39.81128, 'longitude': -104.91395}",Cultivando - Boulder AIR 6
US,"{'latitude': 47.865696, 'longitude': -122.11831}",Cathcart Way Operations Center
US,"{'latitude': 36.593925, 'longitude': -105.447334}",Village of Taos Ski Valley
US,"{'latitude': 47.77606, 'longitude': -122.270325}",Here
US,"{'latitude': 40.867302, 'longitude': -73.60919}",Glen Cove
US,"{'latitude': 37.38775, 'longitude': -122.14273}",Pinewood Upper Campus
US,"{'latitude': 33.04325, 'longitude': -117.13577}",Casa Cielo
US,"{'latitude': 38.544415, 'longitude': -123.094444}",Mohrhardt Ranch
US,"{'latitude': 43.584602, 'longitude': -116.1536}",Starlington
US,"{'latitude': 37.864975, 'longitude': -122.293434}","Ninth St, Berkeley"
US,"{'latitude': 34.021534, 'longitude': -117.90991}",AQMD_NASA_2
US,"{'latitude': 36.77316, 'longitude': -121.66286}",CCA Cross and Cunha
US,"{'latitude': 37.796654, 'longitude': -122.44107}","Cow Hollow, San Francisco"
US,"{'latitude': 32.48389, 'longitude': -97.00183}",Kimmel Park
US,"{'latitude': 34.969944, 'longitude': -120.566895}",SBCAPCD_38
US,"{'latitude': 38.88447, 'longitude': -121.16293}","Ridge Rd,  midway point"
US,"{'latitude': 38.47999, 'longitude': -120.63565}",MFV Winery
US,"{'latitude': 37.574825, 'longitude': -122.39338}",Alturas Drive
US,"{'latitude': 37.736603, 'longitude': -122.45108}",Molimo Manor
US,"{'latitude': 37.734234, 'longitude': -122.43602}",Aeolus
US,"{'latitude': 37.20969, 'longitude': -121.84097}",Almaden Cabana Club
US,"{'latitude': 40.016354, 'longitude': -75.13396}",Nueva Esperanza Inc.
US,"{'latitude': 37.70511, 'longitude': -122.10522}",Castro Valley 2
US,"{'latitude': 47.330536, 'longitude': -118.68795}",Odessa School District
US,"{'latitude': 37.80239, 'longitude': -122.227036}",Glenview Oakland
US,"{'latitude': 39.210724, 'longitude': -120.09041}",Jeffery
US,"{'latitude': 35.772312, 'longitude': -119.8704}",WPA KINGS PLANT
US,"{'latitude': 37.33104, 'longitude': -121.94193}",Cory/Valley Fair Neighborhood
US,"{'latitude': 47.760647, 'longitude': -122.217766}",Bothell Westhill
US,"{'latitude': 42.523132, 'longitude': -90.65974}",Dubuque air quality sensor
CA,"{'latitude': 54.403534, 'longitude': -126.64509}",ENV PA Water Treatment
US,"{'latitude': 34.09818, 'longitude': -118.28198}",CCA Bates and Sunset
US,"{'latitude': 32.8305, 'longitude': -79.9574}",CCRAB Peace St
US,"{'latitude': 34.410046, 'longitude': -116.90695}",MDAQMD-LUC1
US,"{'latitude': 45.522007, 'longitude': -122.67967}",MULTCO B-545 BHRC-BUSHONG BLDG
US,"{'latitude': 38.56804, 'longitude': -119.508385}",GBUAPCD_colevilleHS
US,"{'latitude': 33.835808, 'longitude': -118.17562}",CCA Maury and Tehachapi 2
US,"{'latitude': 40.677616, 'longitude': -111.83469}",Lincoln Ln
US,"{'latitude': 45.242783, 'longitude': -98.563675}",Mansfield
US,"{'latitude': 36.75685, 'longitude': -119.23455}",Squaw Valley
MX,"{'latitude': 22.57196, 'longitude': -101.97202}",MSN-Camp-S1
US,"{'latitude': 29.822308, 'longitude': -95.30618}",Apache69
US,"{'latitude': 40.134445, 'longitude': -105.12334}",Creekside and Sunset
US,"{'latitude': 32.501556, 'longitude': -97.006905}",Millbrook
US,"{'latitude': 42.1024, 'longitude': -85.26918}",NHBP
US,"{'latitude': 45.57789, 'longitude': -122.674416}",NCALittleBox2
US,"{'latitude': 39.8496, 'longitude': -121.92277}",North40
US,"{'latitude': 39.612022, 'longitude': -106.70815}",Cordillera- Summit
US,"{'latitude': 37.563614, 'longitude': -122.26319}",Foster City - Niantic Dr.
US,"{'latitude': 38.638466, 'longitude': -109.40308}",140 Buchanan Ln   Castle Valley
US,"{'latitude': 37.91439, 'longitude': -122.02962}",Rancho San Miguel / Los Felicas
US,"{'latitude': 43.5412, 'longitude': -116.143}",NussHaus
US,"{'latitude': 36.391396, 'longitude': -105.280846}","Angel Fire, NM"
US,"{'latitude': 42.4848, 'longitude': -83.31004}",CBS News Detroit NEXT Weather
US,"{'latitude': 37.841827, 'longitude': -122.24774}",Broadway
US,"{'latitude': 41.043926, 'longitude': -111.67677}",Morgan City Visitor's Center powered by UTOPIA Fiber
US,"{'latitude': 43.107624, 'longitude': -72.31947}",Beaver Wood Pond
US,"{'latitude': 38.011585, 'longitude': -122.547935}",Orange Blossom
US,"{'latitude': 35.766674, 'longitude': -78.62495}",State St.
MX,"{'latitude': 25.745947, 'longitude': -100.41292}",Colegio Cambridge de Monterrey Campus Cumbres - Primaria
US,"{'latitude': 40.7214, 'longitude': -96.645}",Kensington Estates
US,"{'latitude': 37.51261, 'longitude': -122.29735}",Orch backyard
US,"{'latitude': 48.34973, 'longitude': -120.71663}","NOCA/NPS-Stehekin, WA"
US,"{'latitude': 45.305202, 'longitude': -122.96771}",George Fox University
US,"{'latitude': 47.985043, 'longitude': -113.92118}",G_SwanLake
US,"{'latitude': 40.09578, 'longitude': -88.315544}",Warnow-Chacko
US,"{'latitude': 38.99373, 'longitude': -119.160164}",LCSD-Yerington
US,"{'latitude': 37.77695, 'longitude': -122.290405}",kiddie kampus
US,"{'latitude': 38.996838, 'longitude': -121.09646}",Winding way outdoor
US,"{'latitude': 41.10572, 'longitude': -112.009476}",Clearfield Bicentennial Park powered by UTOPIA Fiber
US,"{'latitude': 38.09294, 'longitude': -120.13053}",Long Barn - Pumping Station
US,"{'latitude': 41.11883, 'longitude': -112.0984}",West Point Elementary School
US,"{'latitude': 38.540863, 'longitude': -123.096634}",Mohrhardt
US,"{'latitude': 34.37639, 'longitude': -118.99994}",Little Red School House
US,"{'latitude': 35.264942, 'longitude': -120.69507}",Laguna Lake Area
US,"{'latitude': 38.092266, 'longitude': -122.576904}",Indian Valley
US,"{'latitude': 39.125595, 'longitude': -120.95997}",Bear River Canyon
US,"{'latitude': 46.60467, 'longitude': -120.44553}",125 So 41St
US,"{'latitude': 38.927303, 'longitude': -76.92099}",CheverlyAQM_W2_1r
US,"{'latitude': 33.713737, 'longitude': -117.86316}",Capacete Residence
US,"{'latitude': 47.573616, 'longitude': -122.23896}",Front Porch
US,"{'latitude': 36.568073, 'longitude': -121.70494}",Harper
US,"{'latitude': 30.231756, 'longitude': -97.881294}",CRCJV-#2
US,"{'latitude': 34.522, 'longitude': -86.066}",Yard
US,"{'latitude': 37.644516, 'longitude': -121.94277}",Sunol Ridge
US,"{'latitude': 38.088905, 'longitude': -122.518005}",263 Montego Key
US,"{'latitude': 40.86629, 'longitude': -75.12807}",Mt-Bethel-611South
US,"{'latitude': 47.503227, 'longitude': -116.74248}",Bear Tree Farm
US,"{'latitude': 37.893917, 'longitude': -122.27123}",817
MX,"{'latitude': 18.676699, 'longitude': -88.39863}","BOMBEROS, BACALAR - SEMA"
US,"{'latitude': 41.0665, 'longitude': -111.912445}",Layton Oak Hills Dr. &amp; Hwy 89 powered by UTOPIA Fiber
US,"{'latitude': 37.88529, 'longitude': -122.18975}",TOPS Outdoor Classroom
US,"{'latitude': 37.7755, 'longitude': -122.26367}",Sherman Station
US,"{'latitude': 47.78342, 'longitude': -122.12237}",Tralfamador
US,"{'latitude': 39.278294, 'longitude': -94.94477}",New Lawrence Road
US,"{'latitude': 33.53833, 'longitude': -101.781654}",Yellow House Canyon
US,"{'latitude': 41.059727, 'longitude': -124.12889}",Trinidad 
US,"{'latitude': 35.194134, 'longitude': -80.823494}","Eastover, Charlotte, NC"
US,"{'latitude': 40.689796, 'longitude': -112.08269}",West Bench
US,"{'latitude': 44.464527, 'longitude': -73.21176}",Charlotte Street
US,"{'latitude': 39.248917, 'longitude': -76.626976}",Hemingway Temple AME
US,"{'latitude': 38.461086, 'longitude': -120.56692}",Volcano Trail
US,"{'latitude': 44.29801, 'longitude': -91.17275}",Taylor
US,"{'latitude': 42.13433, 'longitude': -122.61738}",Arcadia
US,"{'latitude': 41.07944, 'longitude': -111.90936}",Layton Valley View Dr. powered by UTOPIA Fiber
CA,"{'latitude': 64.190544, 'longitude': -114.18244}",AQSU-5441
US,"{'latitude': 29.440323, 'longitude': -98.48145}",Museum reach boat ramp
US,"{'latitude': 45.51146, 'longitude': -122.55559}",Strip of Weeds
US,"{'latitude': 36.465576, 'longitude': -121.78044}",Vasquez Trail
US,"{'latitude': 43.79973, 'longitude': -123.0532}",LRAPA-Cottage Grove
US,"{'latitude': 36.57126, 'longitude': -118.097855}",CARB_S_GBUAPCD_AlabamaHills
US,"{'latitude': 42.321304, 'longitude': -83.29375}",Crestwood High School - Courtyard
US,"{'latitude': 47.66265, 'longitude': -122.090935}",Evans Creek Apts Redmond
US,"{'latitude': 39.132004, 'longitude': -100.854576}",Oakley
US,"{'latitude': 42.139923, 'longitude': -75.89617}","Port Dickinson, NY"
US,"{'latitude': 47.21025, 'longitude': -122.43561}",Stewart Middle School
US,"{'latitude': 44.018612, 'longitude': -123.0912}",The Village School
US,"{'latitude': 40.38606, 'longitude': -122.291145}",Cottonwood Union School District - DO
US,"{'latitude': 38.34834, 'longitude': -122.78992}",Geek Orchard
CA,"{'latitude': 43.660812, 'longitude': -79.39838}",MP21
US,"{'latitude': 39.373615, 'longitude': -120.99525}",Grizzly Hill School
US,"{'latitude': 39.235676, 'longitude': -120.074684}",Agate Bay
US,"{'latitude': 39.520634, 'longitude': -74.68271}",Laureldale
US,"{'latitude': 37.388664, 'longitude': -122.2633}",Sky Londa
US,"{'latitude': 47.647865, 'longitude': -122.12437}",Cascade View Park
US,"{'latitude': 40.246975, 'longitude': -75.23712}",Jill G
US,"{'latitude': 37.769833, 'longitude': -122.451775}",Mud Upper Haight
US,"{'latitude': 37.750942, 'longitude': -122.42031}",Synergy School (outside)
US,"{'latitude': 37.521603, 'longitude': -122.34236}",Bunker Hill School
US,"{'latitude': 36.80291, 'longitude': -118.19678}",Owens Valley Unified School District
US,"{'latitude': 38.802338, 'longitude': -120.14262}",Strawberry HW50
US,"{'latitude': 37.877342, 'longitude': -122.084526}",Hillside Pool Outside
US,"{'latitude': 37.913994, 'longitude': -122.30215}",ECPC
US,"{'latitude': 37.93226, 'longitude': -122.37145}",154 collins GWR
CA,"{'latitude': 54.058475, 'longitude': -128.68921}",KTAS-001
US,"{'latitude': 37.760532, 'longitude': -122.232346}",Court &amp; Johnson
US,"{'latitude': 39.373566, 'longitude': -119.82937}",Larrea
US,"{'latitude': 43.08658, 'longitude': -85.56744}",W8AGT Rockford
US,"{'latitude': 42.51567, 'longitude': -89.02437}",Merrill Community Center
US,"{'latitude': 38.111233, 'longitude': -122.86595}",Chicken Ranch Beach 94937
US,"{'latitude': 40.04967, 'longitude': -105.27232}",Boulder Waldorf Kindergarten
US,"{'latitude': 38.55478, 'longitude': -90.25221}",Carondelet
CA,"{'latitude': 43.658653, 'longitude': -79.42563}",Rock n' Roll Love Dinosaurs
CA,"{'latitude': 49.471256, 'longitude': -123.75143}","Lehigh Mine - Sechelt, BC 5586 Sinku Dr."
US,"{'latitude': 38.497692, 'longitude': -122.93829}",NoSoCoAir_SummerHomePark_CARB
US,"{'latitude': 40.394596, 'longitude': -105.186295}",Miravalle CO
US,"{'latitude': 37.97465, 'longitude': -122.56291}",San Anselmo Town Hall
US,"{'latitude': 38.81529, 'longitude': -121.24259}",Fox Hill
US,"{'latitude': 33.746918, 'longitude': -118.331535}",Crownview
US,"{'latitude': 37.402657, 'longitude': -122.087944}",rex manor outside
US,"{'latitude': 43.31334, 'longitude': -91.80417}",Luther College (Valders)
